FILE	h_201
ESC_AA8676AA.fasta	2
ESC_AA8687AA.fasta	1
ESC_AA8703AA.fasta	2
ESC_AA8719AA.fasta	1
ESC_AA8721AA.fasta	1
ESC_AA8762AA.fasta	5
ESC_AA8772AA.fasta	5
ESC_AA8788AA.fasta	1
ESC_AA8799AA.fasta	2
ESC_AA8828AA.fasta	1
ESC_AA8830AA.fasta	2
ESC_AA8842AA.fasta	1
ESC_AA8851AA.fasta	5
ESC_AA8879AA.fasta	1
ESC_AA8887AA.fasta	1
ESC_AA8901AA.fasta	5
ESC_AA8906AA.fasta	1
ESC_AA8916AA.fasta	1
ESC_AA8927AA.fasta	1
ESC_AA8931AA.fasta	1
ESC_AA8942AA.fasta	5
ESC_AA8964AA.fasta	1
ESC_AA8967AA.fasta	2
ESC_AA8978AA.fasta	1
ESC_AA8989AA.fasta	1
ESC_AA9033AA.fasta	1
ESC_AA9047AA.fasta	2
ESC_AA9059AA.fasta	1
ESC_AA9070AA.fasta	1
ESC_AA9078AA.fasta	1
ESC_AA9088AA.fasta	2
ESC_AA9105AA.fasta	1
ESC_AA9138AA.fasta	1
ESC_AA9153AA.fasta	5
ESC_AA9157AA.fasta	1
ESC_AA9162AA.fasta	5
ESC_AA9185AA.fasta	1
ESC_AA9199AA.fasta	1
ESC_AA9202AA.fasta	2
ESC_AA9207AA.fasta	1
ESC_AA9210AA.fasta	2
ESC_AA9217AA.fasta	1
ESC_AA9218AA.fasta	5
ESC_AA9239AA.fasta	1
ESC_AA9244AA.fasta	5
ESC_AA9253AA.fasta	5
ESC_AA9267AA.fasta	1
ESC_AA9271AA.fasta	5
ESC_AA9273AA.fasta	5
ESC_AA9329AA.fasta	5
ESC_AA9335AA.fasta	2
ESC_AA9337AA.fasta	2
ESC_AA9340AA.fasta	1
ESC_AA9341AA.fasta	5
ESC_AA9345AA.fasta	1
ESC_AA9355AA.fasta	2
ESC_AA9358AA.fasta	1
ESC_AA9369AA.fasta	1
ESC_AA9416AA.fasta	5
ESC_AA9419AA.fasta	1
ESC_AA9443AA.fasta	5
ESC_AA9444AA.fasta	5
ESC_AA9453AA.fasta	5
ESC_AA9457AA.fasta	5
ESC_AA9473AA.fasta	2
ESC_AA9504AA.fasta	5
ESC_AA9534AA.fasta	2
ESC_AA9539AA.fasta	2
ESC_AA9581AA.fasta	2
ESC_AA9594AA.fasta	2
ESC_AA9626AA.fasta	1
ESC_AA9628AA.fasta	1
ESC_AA9629AA.fasta	5
ESC_AA9638AA.fasta	1
ESC_AA9646AA.fasta	2
ESC_AA9653AA.fasta	1
ESC_AA9680AA.fasta	1
ESC_AA9716AA.fasta	1
ESC_AA9724AA.fasta	1
ESC_AA9740AA.fasta	1
ESC_AA9755AA.fasta	1
ESC_AA9772AA.fasta	1
ESC_AA9791AA.fasta	1
ESC_AA9800AA.fasta	1
ESC_AA9813AA.fasta	1
ESC_AA9815AA.fasta	1
ESC_AA9816AA.fasta	1
ESC_AA9832AA.fasta	1
ESC_AA9848AA.fasta	1
ESC_AA9867AA.fasta	2
ESC_AA9875AA.fasta	5
ESC_AA9891AA.fasta	1
ESC_AA9912AA.fasta	1
ESC_AA9919AA.fasta	5
ESC_AA9923AA.fasta	2
ESC_AA9939AA.fasta	5
ESC_AA9963AA.fasta	1
ESC_AA9973AA.fasta	1
ESC_AA9976AA.fasta	1
ESC_AA9995AA.fasta	2
ESC_BA0003AA.fasta	5
ESC_BA0056AA.fasta	5
ESC_BA0066AA.fasta	5
ESC_BA0077AA.fasta	5
ESC_BA0085AA.fasta	2
ESC_BA0094AA.fasta	2
ESC_BA0132AA.fasta	5
ESC_BA0162AA.fasta	5
ESC_BA0173AA.fasta	1
ESC_BA0180AA.fasta	2
ESC_BA0184AA.fasta	2
ESC_BA0197AA.fasta	2
ESC_BA0200AA.fasta	1
ESC_BA0202AA.fasta	1
ESC_BA0218AA.fasta	1
ESC_BA0227AA.fasta	1
ESC_BA0234AA.fasta	1
ESC_BA0239AA.fasta	5
ESC_BA0241AA.fasta	5
ESC_BA0244AA.fasta	1
ESC_BA0254AA.fasta	1
ESC_BA0272AA.fasta	1
ESC_BA0274AA.fasta	1
ESC_BA0277AA.fasta	1
ESC_BA0290AA.fasta	1
ESC_BA0295AA.fasta	1
ESC_BA0317AA.fasta	5
ESC_BA0428AA.fasta	5
ESC_BA0476AA.fasta	2
ESC_BA0497AA.fasta	13
ESC_BA0501AA.fasta	5
ESC_BA0532AA.fasta	1
ESC_BA0549AA.fasta	2
ESC_BA0640AA.fasta	5
ESC_BA0649AA.fasta	3
ESC_BA0660AA.fasta	2
ESC_BA0663AA.fasta	35
ESC_BA0668AA.fasta	5
ESC_BA0706AA.fasta	2
ESC_BA0712AA.fasta	2
ESC_BA0744AA.fasta	5
ESC_BA0778AA.fasta	5
ESC_BA0791AA.fasta	5
ESC_BA0832AA.fasta	2
ESC_BA0842AA.fasta	4
ESC_BA0848AA.fasta	2
ESC_BA0887AA.fasta	5
ESC_BA0896AA.fasta	2
ESC_BA0902AA.fasta	2
ESC_BA0945AA.fasta	13
ESC_BA0951AA.fasta	2
ESC_BA0955AA.fasta	2
ESC_BA0958AA.fasta	1
ESC_BA0982AA.fasta	2
ESC_BA0986AA.fasta	5
ESC_BA0993AA.fasta	5
ESC_BA1015AA.fasta	4
ESC_BA1023AA.fasta	5
ESC_BA1085AA.fasta	5
ESC_BA1103AA.fasta	48
ESC_BA1128AA.fasta	5
ESC_BA1130AA.fasta	5
ESC_BA1136AA.fasta	2
ESC_BA1170AA.fasta	2
ESC_BA1179AA.fasta	4
ESC_BA1279AA.fasta	5
ESC_BA1436AA.fasta	2
ESC_BA1440AA.fasta	2
ESC_BA1483AA.fasta	2
ESC_BA1553AA.fasta	2
ESC_BA1557AA.fasta	2
ESC_BA1567AA.fasta	2
ESC_BA1570AA.fasta	2
ESC_BA1574AA.fasta	2
ESC_BA1632AA.fasta	2
ESC_BA1748AA.fasta	2
ESC_BA1753AA.fasta	2
ESC_BA1782AA.fasta	2
ESC_BA1784AA.fasta	2
ESC_BA1786AA.fasta	2
ESC_BA1808AA.fasta	2
ESC_BA1810AA.fasta	2
ESC_BA1811AA.fasta	2
ESC_BA1813AA.fasta	2
ESC_BA1814AA.fasta	1
ESC_BA1815AA.fasta	2
ESC_BA1819AA.fasta	2
ESC_BA1821AA.fasta	1
ESC_BA1832AA.fasta	2
ESC_BA1839AA.fasta	2
ESC_BA1843AA.fasta	2
ESC_BA1846AA.fasta	2
ESC_BA1863AA.fasta	15
ESC_BA1866AA.fasta	2
ESC_BA1878AA.fasta	2
ESC_BA1883AA.fasta	1
ESC_BA1885AA.fasta	1
ESC_BA1896AA.fasta	2
ESC_BA1902AA.fasta	2
ESC_BA1910AA.fasta	2
ESC_BA1921AA.fasta	4
ESC_BA2068AA.fasta	2
ESC_BA2086AA.fasta	18
ESC_BA2104AA.fasta	2
ESC_BA2108AA.fasta	2
ESC_BA2163AA.fasta	67
ESC_BA2172AA.fasta	12
ESC_BA2197AA.fasta	12
ESC_BA2201AA.fasta	7
ESC_BA2204AA.fasta	12
ESC_BA2229AA.fasta	12
ESC_BA2252AA.fasta	5
ESC_BA2286AA.fasta	3
ESC_BA2294AA.fasta	4
ESC_BA2476AA.fasta	3
ESC_BA2566AA.fasta	7
ESC_BA2600AA.fasta	19
ESC_BA2684AA.fasta	2
ESC_BA2732AA.fasta	2
ESC_BA2756AA.fasta	2
ESC_BA2763AA.fasta	2
ESC_BA2789AA.fasta	2
ESC_BA2803AA.fasta	2
ESC_BA2839AA.fasta	5
ESC_BA2902AA.fasta	2
ESC_BA2912AA.fasta	2
ESC_BA2918AA.fasta	2
ESC_BA2920AA.fasta	2
ESC_BA2989AA.fasta	13
ESC_BA3012AA.fasta	4
ESC_BA3029AA.fasta	2
ESC_BA3040AA.fasta	2
ESC_BA3127AA.fasta	2
ESC_BA3142AA.fasta	2
ESC_BA3166AA.fasta	11
ESC_BA3187AA.fasta	4
ESC_BA3211AA.fasta	2
ESC_BA3239AA.fasta	13
ESC_BA3266AA.fasta	13
ESC_BA3314AA.fasta	18
ESC_BA3354AA.fasta	4
ESC_BA3360AA.fasta	4
ESC_BA3371AA.fasta	5
ESC_BA3377AA.fasta	5
ESC_BA3388AA.fasta	5
ESC_BA3391AA.fasta	13
ESC_BA3395AA.fasta	1
ESC_BA3398AA.fasta	1
ESC_BA3399AA.fasta	1
ESC_BA3405AA.fasta	3
ESC_BA3451AA.fasta	5
ESC_BA3464AA.fasta	3
ESC_BA3501AA.fasta	2
ESC_BA3527AA.fasta	2
ESC_BA3529AA.fasta	2
ESC_BA3533AA.fasta	2
ESC_BA3577AA.fasta	24
ESC_BA3628AA.fasta	1
ESC_BA3630AA.fasta	1
ESC_BA3649AA.fasta	5
ESC_BA3715AA.fasta	1
ESC_BA3718AA.fasta	41
ESC_BA3734AA.fasta	13
ESC_BA3767AA.fasta	2
ESC_BA3773AA.fasta	2
ESC_BA3780AA.fasta	2
ESC_BA3793AA.fasta	2
ESC_BA3799AA.fasta	2
ESC_BA3825AA.fasta	10
ESC_BA3841AA.fasta	10
ESC_BA3846AA.fasta	2
ESC_BA3855AA.fasta	10
ESC_BA3857AA.fasta	10
ESC_BA3866AA.fasta	10
ESC_BA3876AA.fasta	10
ESC_BA3879AA.fasta	2
ESC_BA3893AA.fasta	2
ESC_BA3899AA.fasta	2
ESC_BA3904AA.fasta	10
ESC_BA3908AA.fasta	2
ESC_BA3921AA.fasta	2
ESC_BA3928AA.fasta	2
ESC_BA3936AA.fasta	2
ESC_BA3952AA.fasta	2
ESC_BA3995AA.fasta	2
ESC_BA4010AA.fasta	2
ESC_BA4021AA.fasta	2
ESC_BA4057AA.fasta	2
ESC_BA4137AA.fasta	5
ESC_BA4140AA.fasta	19
ESC_BA4190AA.fasta	1
ESC_BA4294AA.fasta	2
ESC_BA4492AA.fasta	2
ESC_BA4507AA.fasta	2
ESC_BA4516AA.fasta	2
ESC_BA4551AA.fasta	2
ESC_BA4564AA.fasta	2
ESC_BA4583AA.fasta	2
ESC_BA4599AA.fasta	2
ESC_BA4691AA.fasta	2
ESC_BA4692AA.fasta	2
ESC_BA4713AA.fasta	2
ESC_BA4786AA.fasta	10
ESC_BA4790AA.fasta	10
ESC_BA4791AA.fasta	2
ESC_BA4794AA.fasta	10
ESC_BA4798AA.fasta	10
ESC_BA4804AA.fasta	2
ESC_BA4806AA.fasta	2
ESC_BA4820AA.fasta	2
ESC_BA4855AA.fasta	2
ESC_BA4863AA.fasta	2
ESC_BA4869AA.fasta	2
ESC_BA4873AA.fasta	10
ESC_BA4876AA.fasta	2
ESC_BA4887AA.fasta	2
ESC_BA4897AA.fasta	2
ESC_BA4904AA.fasta	2
ESC_BA4906AA.fasta	2
ESC_BA4915AA.fasta	12
ESC_BA4923AA.fasta	12
ESC_BA4928AA.fasta	3
ESC_BA4932AA.fasta	12
ESC_BA4934AA.fasta	12
ESC_BA4940AA.fasta	9
ESC_BA4954AA.fasta	12
ESC_BA4956AA.fasta	12
ESC_BA4967AA.fasta	12
ESC_BA5002AA.fasta	12
ESC_BA5028AA.fasta	23
ESC_BA5029AA.fasta	12
ESC_BA5035AA.fasta	12
ESC_BA5048AA.fasta	3
ESC_BA5051AA.fasta	12
ESC_BA5071AA.fasta	12
ESC_BA5091AA.fasta	3
ESC_BA5093AA.fasta	17
ESC_BA5142AA.fasta	3
ESC_BA5183AA.fasta	3
ESC_BA5198AA.fasta	3
ESC_BA5213AA.fasta	17
ESC_BA5217AA.fasta	9
ESC_BA5375AA.fasta	15
ESC_BA5379AA.fasta	19
ESC_BA5388AA.fasta	2
ESC_BA5769AA.fasta	5
ESC_BA5795AA.fasta	3
ESC_BA5811AA.fasta	3
ESC_BA5823AA.fasta	19
ESC_BA5894AA.fasta	3
ESC_BA5896AA.fasta	17
ESC_BA5951AA.fasta	19
ESC_BA5986AA.fasta	3
ESC_BA6022AA.fasta	3
ESC_BA6051AA.fasta	3
ESC_BA6075AA.fasta	3
ESC_BA6082AA.fasta	3
ESC_BA6091AA.fasta	3
ESC_BA6112AA.fasta	3
ESC_BA6129AA.fasta	3
ESC_BA6157AA.fasta	3
ESC_BA6160AA.fasta	5
ESC_BA6171AA.fasta	3
ESC_BA6177AA.fasta	2
ESC_BA6188AA.fasta	2
ESC_BA6197AA.fasta	2
ESC_BA6228AA.fasta	3
ESC_BA6304AA.fasta	3
ESC_BA6490AA.fasta	3
ESC_BA6502AA.fasta	3
ESC_BA6505AA.fasta	9
ESC_BA6522AA.fasta	20
ESC_BA6569AA.fasta	9
ESC_BA6638AA.fasta	3
ESC_BA6672AA.fasta	3
ESC_BA6817AA.fasta	35
ESC_BA6825AA.fasta	3
ESC_BA6853AA.fasta	3
ESC_BA6875AA.fasta	20
ESC_BA6927AA.fasta	9
ESC_BA6978AA.fasta	3
ESC_BA7172AA.fasta	11
ESC_BA7318AA.fasta	3
ESC_BA7352AA.fasta	3
ESC_BA7403AA.fasta	21
ESC_BA7419AA.fasta	3
ESC_BA7422AA.fasta	9
ESC_BA7431AA.fasta	3
ESC_BA7471AA.fasta	3
ESC_BA7491AA.fasta	7
ESC_BA7526AA.fasta	3
ESC_BA7540AA.fasta	3
ESC_BA7564AA.fasta	3
ESC_BA7634AA.fasta	3
ESC_BA7661AA.fasta	9
ESC_BA7735AA.fasta	21
ESC_BA7737AA.fasta	9
ESC_BA7754AA.fasta	9
ESC_BA7776AA.fasta	3
ESC_BA7798AA.fasta	3
ESC_BA7819AA.fasta	3
ESC_BA7836AA.fasta	9
ESC_BA7866AA.fasta	19
ESC_BA8114AA.fasta	1
ESC_BA8154AA.fasta	7
ESC_BA8201AA.fasta	1
ESC_BA8216AA.fasta	15
ESC_BA8344AA.fasta	3
ESC_BA8425AA.fasta	21
ESC_BA8430AA.fasta	15
ESC_BA8554AA.fasta	11
ESC_BA8628AA.fasta	21
ESC_BA8659AA.fasta	11
ESC_BA8670AA.fasta	7
ESC_BA8775AA.fasta	11
ESC_BA9075AA.fasta	10
ESC_BA9083AA.fasta	10
ESC_BA9084AA.fasta	10
ESC_BA9127AA.fasta	11
ESC_BA9228AA.fasta	19
ESC_BA9229AA.fasta	9
ESC_BA9244AA.fasta	7
ESC_BA9290AA.fasta	3
ESC_BA9372AA.fasta	19
ESC_BA9404AA.fasta	9
ESC_BA9430AA.fasta	55
ESC_BA9433AA.fasta	9
ESC_BA9453AA.fasta	18
ESC_BA9555AA.fasta	21
ESC_BA9586AA.fasta	52
ESC_BA9604AA.fasta	72
ESC_BA9625AA.fasta	11
ESC_BA9722AA.fasta	3
ESC_BA9732AA.fasta	3
ESC_BA9744AA.fasta	20
ESC_BA9754AA.fasta	3
ESC_BA9755AA.fasta	3
ESC_BA9780AA.fasta	11
ESC_BA9803AA.fasta	9
ESC_BA9863AA.fasta	3
ESC_BA9901AA.fasta	3
ESC_BA9908AA.fasta	3
ESC_BA9915AA.fasta	3
ESC_BA9924AA.fasta	3
ESC_BA9955AA.fasta	3
ESC_BA9983AA.fasta	23
ESC_BA9990AA.fasta	23
ESC_CA0016AA.fasta	11
ESC_CA0058AA.fasta	3
ESC_CA0060AA.fasta	3
ESC_CA0065AA.fasta	3
ESC_CA0084AA.fasta	3
ESC_CA0087AA.fasta	20
ESC_CA0093AA.fasta	3
ESC_CA0098AA.fasta	3
ESC_CA0105AA.fasta	3
ESC_CA0131AA.fasta	3
ESC_CA0134AA.fasta	3
ESC_CA0145AA.fasta	3
ESC_CA0185AA.fasta	23
ESC_CA0197AA.fasta	15
ESC_CA0332AA.fasta	3
ESC_CA0405AA.fasta	23
ESC_CA0461AA.fasta	50
ESC_CA0462AA.fasta	50
ESC_CA0834AA.fasta	3
ESC_CA0842AA.fasta	3
ESC_CA0843AA.fasta	3
ESC_CA0844AA.fasta	3
ESC_CA0884AA.fasta	3
ESC_CA0900AA.fasta	3
ESC_CA0911AA.fasta	3
ESC_CA0913AA.fasta	3
ESC_CA0916AA.fasta	3
ESC_CA0923AA.fasta	3
ESC_CA0925AA.fasta	3
ESC_CA0926AA.fasta	3
ESC_CA0959AA.fasta	10
ESC_CA0978AA.fasta	2
ESC_CA0990AA.fasta	11
ESC_CA1190AA.fasta	11
ESC_CA1197AA.fasta	3
ESC_CA1233AA.fasta	3
ESC_CA1316AA.fasta	9
ESC_CA1332AA.fasta	11
ESC_CA1357AA.fasta	9
ESC_CA1385AA.fasta	11
ESC_CA1472AA.fasta	9
ESC_CA1476AA.fasta	9
ESC_CA1520AA.fasta	34
ESC_CA1611AA.fasta	1
ESC_CA1623AA.fasta	1
ESC_CA1635AA.fasta	1
ESC_CA1646AA.fasta	1
ESC_CA1745AA.fasta	1
ESC_CA1754AA.fasta	1
ESC_CA1871AA.fasta	1
ESC_CA1876AA.fasta	1
ESC_CA1877AA.fasta	1
ESC_CA1895AA.fasta	1
ESC_CA2065AA.fasta	14
ESC_CA2132AA.fasta	1
ESC_CA2140AA.fasta	1
ESC_CA2142AA.fasta	1
ESC_CA2168AA.fasta	1
ESC_CA2216AA.fasta	1
ESC_CA2223AA.fasta	1
ESC_CA2226AA.fasta	1
ESC_CA2248AA.fasta	1
ESC_CA2254AA.fasta	1
ESC_CA2264AA.fasta	1
ESC_CA2273AA.fasta	1
ESC_CA2846AA.fasta	6
ESC_CA2866AA.fasta	4
ESC_CA2874AA.fasta	13
ESC_CA2955AA.fasta	13
ESC_CA2995AA.fasta	4
ESC_CA3148AA.fasta	4
ESC_CA3176AA.fasta	4
ESC_CA3185AA.fasta	4
ESC_CA3211AA.fasta	4
ESC_CA3222AA.fasta	4
ESC_CA3264AA.fasta	4
ESC_CA3309AA.fasta	13
ESC_CA3351AA.fasta	4
ESC_CA3405AA.fasta	13
ESC_CA3432AA.fasta	4
ESC_CA3434AA.fasta	4
ESC_CA3497AA.fasta	8
ESC_CA3499AA.fasta	1
ESC_CA3509AA.fasta	80
ESC_CA3545AA.fasta	15
ESC_CA3619AA.fasta	2
ESC_CA3817AA.fasta	18
ESC_CA3836AA.fasta	11
ESC_CA3855AA.fasta	23
ESC_CA3980AA.fasta	5
ESC_CA3987AA.fasta	8
ESC_CA3988AA.fasta	6
ESC_CA3991AA.fasta	6
ESC_CA4176AA.fasta	1
ESC_CA4225AA.fasta	1
ESC_CA4251AA.fasta	4
ESC_CA4254AA.fasta	4
ESC_CA4263AA.fasta	6
ESC_CA4265AA.fasta	4
ESC_CA4286AA.fasta	8
ESC_CA4326AA.fasta	4
ESC_CA4349AA.fasta	8
ESC_CA4350AA.fasta	3
ESC_CA4354AA.fasta	3
ESC_CA4359AA.fasta	3
ESC_CA4395AA.fasta	3
ESC_CA4466AA.fasta	3
ESC_CA4478AA.fasta	20
ESC_CA4486AA.fasta	3
ESC_CA4495AA.fasta	7
ESC_CA4542AA.fasta	11
ESC_CA4559AA.fasta	7
ESC_CA4641AA.fasta	39
ESC_CA4655AA.fasta	30
ESC_CA4666AA.fasta	15
ESC_CA4689AA.fasta	56
ESC_CA4690AA.fasta	15
ESC_CA4742AA.fasta	2
ESC_CA4761AA.fasta	28
ESC_CA4770AA.fasta	28
ESC_CA4786AA.fasta	28
ESC_CA4850AA.fasta	6
ESC_CA4881AA.fasta	15
ESC_CA4904AA.fasta	15
ESC_CA4949AA.fasta	20
ESC_CA4950AA.fasta	20
ESC_CA5058AA.fasta	4
ESC_CA5061AA.fasta	8
ESC_CA5083AA.fasta	19
ESC_CA5084AA.fasta	17
ESC_CA5089AA.fasta	17
ESC_CA5112AA.fasta	15
ESC_CA5166AA.fasta	15
ESC_CA5207AA.fasta	36
ESC_CA5232AA.fasta	36
ESC_CA5239AA.fasta	46
ESC_CA5387AA.fasta	3
ESC_CA5395AA.fasta	53
ESC_CA5427AA.fasta	3
ESC_CA5433AA.fasta	30
ESC_CA5470AA.fasta	3
ESC_CA5519AA.fasta	6
ESC_CA5549AA.fasta	6
ESC_CA5551AA.fasta	6
ESC_CA5623AA.fasta	4
ESC_CA5627AA.fasta	4
ESC_CA5640AA.fasta	14
ESC_CA5705AA.fasta	21
ESC_CA5721AA.fasta	40
ESC_CA5722AA.fasta	25
ESC_CA5728AA.fasta	27
ESC_CA5753AA.fasta	4
ESC_CA5791AA.fasta	14
ESC_CA5806AA.fasta	35
ESC_CA5827AA.fasta	13
ESC_CA5828AA.fasta	13
ESC_CA5829AA.fasta	18
ESC_CA5843AA.fasta	8
ESC_CA5846AA.fasta	6
ESC_CA5852AA.fasta	6
ESC_CA5867AA.fasta	4
ESC_CA5868AA.fasta	4
ESC_CA5899AA.fasta	13
ESC_CA5902AA.fasta	2
ESC_CA5904AA.fasta	2
ESC_CA5912AA.fasta	5
ESC_CA5915AA.fasta	5
ESC_CA5928AA.fasta	2
ESC_CA5967AA.fasta	2
ESC_CA6086AA.fasta	32
ESC_CA6100AA.fasta	1
ESC_CA6112AA.fasta	1
ESC_CA6135AA.fasta	4
ESC_CA6151AA.fasta	1
ESC_CA6180AA.fasta	2
ESC_CA6696AA.fasta	4
ESC_CA6748AA.fasta	13
ESC_CA6752AA.fasta	8
ESC_CA6753AA.fasta	6
ESC_CA6760AA.fasta	4
ESC_CA6763AA.fasta	6
ESC_CA6767AA.fasta	6
ESC_CA6778AA.fasta	6
ESC_CA6779AA.fasta	6
ESC_CA6780AA.fasta	6
ESC_CA6788AA.fasta	13
ESC_CA6790AA.fasta	8
ESC_CA6791AA.fasta	8
ESC_CA6792AA.fasta	8
ESC_CA6793AA.fasta	8
ESC_CA6796AA.fasta	8
ESC_CA6799AA.fasta	8
ESC_CA6801AA.fasta	8
ESC_CA6803AA.fasta	8
ESC_CA6806AA.fasta	8
ESC_CA6808AA.fasta	8
ESC_CA6814AA.fasta	13
ESC_CA6828AA.fasta	1
ESC_CA6839AA.fasta	1
ESC_CA6859AA.fasta	13
ESC_CA6890AA.fasta	4
ESC_CA6892AA.fasta	1
ESC_CA6900AA.fasta	8
ESC_CA6945AA.fasta	16
ESC_CA6958AA.fasta	16
ESC_CA6974AA.fasta	4
ESC_CA7053AA.fasta	7
ESC_CA7057AA.fasta	82
ESC_CA7158AA.fasta	3
ESC_CA7169AA.fasta	2
ESC_CA7180AA.fasta	2
ESC_CA7192AA.fasta	2
ESC_CA7195AA.fasta	2
ESC_CA7204AA.fasta	2
ESC_CA7240AA.fasta	2
ESC_CA7241AA.fasta	2
ESC_CA7271AA.fasta	2
ESC_CA7287AA.fasta	2
ESC_CA7302AA.fasta	2
ESC_CA7310AA.fasta	2
ESC_CA7319AA.fasta	2
ESC_CA7450AA.fasta	8
ESC_CA7492AA.fasta	6
ESC_CA7527AA.fasta	4
ESC_CA7535AA.fasta	13
ESC_CA7553AA.fasta	1
ESC_CA7559AA.fasta	1
ESC_CA7566AA.fasta	1
ESC_CA7582AA.fasta	1
ESC_CA7608AA.fasta	1
ESC_CA7609AA.fasta	1
ESC_CA7612AA.fasta	1
ESC_CA7615AA.fasta	1
ESC_CA7632AA.fasta	1
ESC_CA7637AA.fasta	1
ESC_CA7644AA.fasta	1
ESC_CA7646AA.fasta	1
ESC_CA7657AA.fasta	1
ESC_CA7674AA.fasta	1
ESC_CA7693AA.fasta	2
ESC_CA7955AA.fasta	2
ESC_CA7961AA.fasta	2
ESC_CA8021AA.fasta	4
ESC_CA8055AA.fasta	6
ESC_CA8056AA.fasta	1
ESC_CA8057AA.fasta	1
ESC_CA8070AA.fasta	11
ESC_CA8129AA.fasta	6
ESC_CA8133AA.fasta	37
ESC_CA8156AA.fasta	6
ESC_CA8166AA.fasta	6
ESC_CA8176AA.fasta	6
ESC_CA8187AA.fasta	8
ESC_CA8209AA.fasta	6
ESC_CA8271AA.fasta	4
ESC_CA8272AA.fasta	48
ESC_CA8290AA.fasta	1
ESC_CA8291AA.fasta	1
ESC_CA8356AA.fasta	9
ESC_CA8408AA.fasta	13
ESC_CA8438AA.fasta	11
ESC_CA8474AA.fasta	3
ESC_CA8984AA.fasta	3
ESC_CA9089AA.fasta	1
ESC_CA9093AA.fasta	18
ESC_CA9140AA.fasta	24
ESC_CA9141AA.fasta	5
ESC_CA9146AA.fasta	12
ESC_CA9147AA.fasta	24
ESC_CA9154AA.fasta	24
ESC_CA9163AA.fasta	24
ESC_CA9171AA.fasta	5
ESC_CA9195AA.fasta	12
ESC_CA9198AA.fasta	5
ESC_CA9206AA.fasta	5
ESC_CA9217AA.fasta	5
ESC_CA9231AA.fasta	2
ESC_CA9410AA.fasta	11
ESC_CA9413AA.fasta	9
ESC_CA9493AA.fasta	20
ESC_CA9519AA.fasta	3
ESC_CA9531AA.fasta	3
ESC_CA9534AA.fasta	3
ESC_CA9577AA.fasta	7
ESC_CA9717AA.fasta	18
ESC_CA9741AA.fasta	8
ESC_CA9743AA.fasta	8
ESC_CA9784AA.fasta	4
ESC_CA9829AA.fasta	4
ESC_CA9871AA.fasta	4
ESC_CA9896AA.fasta	13
ESC_CA9901AA.fasta	37
ESC_CA9921AA.fasta	4
ESC_CA9929AA.fasta	13
ESC_CA9961AA.fasta	1
ESC_CA9964AA.fasta	13
ESC_CA9967AA.fasta	1
ESC_CA9968AA.fasta	1
ESC_CA9986AA.fasta	8
ESC_CA9987AA.fasta	13
ESC_DA0003AA.fasta	1
ESC_DA0086AA.fasta	13
ESC_DA0113AA.fasta	12
ESC_DA0355AA.fasta	8
ESC_DA0357AA.fasta	6
ESC_DA0358AA.fasta	4
ESC_DA0374AA.fasta	1
ESC_DA0386AA.fasta	6
ESC_DA0389AA.fasta	6
ESC_DA0390AA.fasta	4
ESC_DA0391AA.fasta	8
ESC_DA0406AA.fasta	18
